UBIGEO,NAME_CLEAN,mean,p10,pct_below_0C
1,LARI,-1.233448147773743,-3.1231911182403564,1.0
1,PUQUINA,-1.1886810064315796,-2.9247725009918213,1.0
1,OMATE,-1.0000442266464231,-2.800123691558838,1.0
1,MADRIGAL,-0.9780043959617616,-2.34721040725708,1.0
1,ICHUPAMPA,-0.9639758467674256,-2.313541889190674,1.0
1,SAN PABLO,-0.9517898559570312,-4.060741901397705,1.0
1,COALAQUE,-0.776991069316864,-2.175575017929077,1.0
1,TICACO,-0.7651004195213318,-2.1422810554504395,1.0
1,COPORAQUE,-0.7369503974914551,-2.0634610652923584,1.0
1,ANTAUTA,-0.6304970979690552,-1.8914912939071653,1.0
1,SANTA ROSA,-0.6014584302902222,-2.9213833808898926,1.0
1,TARUCACHI,-0.598815381526947,-2.153615951538086,0.8
1,SICUANI,-0.5688181519508362,-2.813889265060425,1.0
1,AJOYANI,-0.5652397274971008,-1.6957191228866575,1.0
1,OCUVIRI,-0.5598617196083069,-1.9066157341003416,1.0
